post,responseid,duplicated,age,genderselectedchoice,raceblackafricanamerican,raceasianasianamerican,racehispaniclatinx,racenativeamericanindigenous,racenativehawaiianpacificislande,racemultiracial,racewhite,raceother,grade,primarylanguagespokenathome,program,fellow,school,whatschooldoyounormallyattendoth,q1like,q1fun,q1bored,q1todo,q2interested,q2talkupset,q2help,q2listen,q3close,q3support,q3friends,workdone,tryharderinschool,dobetterinschool,enjoyschoolmore,moreconfident_college,explorecollegeoptions,explorecareer,buildrelationships,identifycaringadult,caringadultlisten,q4learn,q4grades,q4useful,q4well,q4important,q5listen,q5important,q5raceknow,q5racelike,q6part,q6care,q6happy,q6fun,q6enjoy,q7doolder,q7college,q7interests,q7goals,q8courses,q8activities,q8financial,q8chances,q9successful,q9graduate,q9college,male,EmotionalEngagement,CognitiveEngagement,q1boredreverse,TEPPSProgEng,TEPPSProgAdult,TEPPSProgramSafety,PYDNhood,PYDDiversity,AdultPlanning,AdultAcademic,AnticipateHappen,dup,MPF: Youth Tracker,Time Served for this Reporting Period (minutes),Student Status (Active),Student Status (No student contact this reporting period),Student Status (Student no longer with the program)
0,R_2Y62vIEReAjeEoE,FALSE,8,1,1,0,0,0,0,0,0,,13,English ,701,1,464,,3,3,2,3,4,4,4,4,4,4,4,,,,,,,,,,,4,4,4,4,4,3,3,4,5,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,1,5,4,3,3,4,12,3,5,3,3,3,0,Freedom House,46000,308,66,6
0,R_22M36VzPIOe2NDm,TRUE,8,2,1,0,0,0,0,0,0,,13,English ,701,1,464,,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,4,4,4,4,4,5,5,5,5,4,4,4,4,4,2,2,2,2,2,2,2,2,3,3,3,0,4,4,1,3,4,12,5,5,2,2,3,0,Freedom House,46000,308,66,6
1,R_UDyI7zyJTRQ89fb,TRUE,8,2,1,0,0,0,0,0,0,,13,20,701,0,464,,4,4,1,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,0,4,3,4,4,4,12,4,4,3,3,3,0,Freedom House,46000,308,66,6
1,R_1kU2fTpN9p6iwlJ,FALSE,9,2,0,0,0,0,0,0,0,,13,20,701,1,464,,3,3,2,3,3,3,3,2,3,3,3,7,7,7,4,7,7,4,7,7,7,4,3,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,0,2,3,3,3,3,9,3,3,2,2,,0,Freedom House,46000,308,66,6
0,R_3ggB8XoY6Ev2nQd,TRUE,9,2,0,0,0,0,0,0,0,,13,Spanish ,701,1,464,,4,4,2,4,4,4,4,4,3,3,3,,,,,,,,,,,3,3,3,3,4,3,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,0,4,3,3,4,4,9,4,5,3,3,3,0,Freedom House,46000,308,66,6
1,R_26g5ciSCsdeJbRU,TRUE,9,2,0,0,0,0,0,0,0,,13,30,701,1,464,,4,4,2,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,0,5,4,3,4,4,12,5,5,3,3,3,0,Freedom House,46000,308,66,6
0,R_3F4jKnV5geoRrzV,FALSE,8,2,1,0,0,0,0,0,0,,13,Cape verdian creole ,701,1,464,,4,4,1,3,4,4,4,4,3,3,3,,,,,,,,,,,3,3,2,3,3,3,3,3,3,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,0,4,3,4,4,4,9,3,3,2,2,2,0,Freedom House,46000,308,66,6
0,R_1cYVLW2KeiJu6s1,FALSE,9,1,1,0,0,0,0,0,0,,13,English ,701,1,464,,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,3,3,3,3,3,1,3,5,5,4,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,3,3,2,3,3,9,2,5,2,2,2,0,Freedom House,46000,308,66,6
0,R_1Pe3qsf2jJHQMUu,FALSE,8,2,1,0,0,0,0,0,0,,13,English ,701,1,464,,4,4,1,4,4,4,4,4,4,4,4,,,,,,,,,,,4,4,4,4,4,1,1,1,1,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,0,4,4,4,4,4,12,1,1,3,3,3,0,Freedom House,46000,308,66,6
0,R_216a6RLcrq1yhGh,FALSE,9,1,1,0,,0,1,1,0,,13,English,701,1,464,,3,4,1,3,3,3,3,3,3,3,3,,,,,,,,,,,3,3,3,3,3,2,3,3,3,4,2,4,4,4,2,2,2,2,2,2,2,2,3,3,3,1,3,3,4,4,3,9,3,3,2,2,3,0,Freedom House,46000,308,66,6
0,R_2ElYWIttOa60qCs,TRUE,8,2,1,0,0,0,0,0,0,,13,English ,701,1,464,,3,3,2,3,4,2,3,4,2,3,3,,,,,,,,,,,4,4,4,4,4,3,4,5,4,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,0,5,4,3,3,3,8,4,5,3,3,3,0,Freedom House,46000,308,66,6
1,R_2ATkyNwIsVBfTI7,TRUE,8,2,1,0,0,0,0,0,0,,13,20,701,1,464,,3,3,2,3,3,3,3,3,3,3,3,8,8,8,7,8,7,8,8,8,8,3,4,4,4,4,4,4,4,4,4,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,0,5,4,3,3,3,9,4,4,3,3,3,0,Freedom House,46000,308,66,6
0,R_3LcZpgk1sEU7yFu,FALSE,8,2,0,0,0,1,0,0,1,,13,English,701,1,464,,4,4,1,4,4,4,4,4,4,4,4,,,,,,,,,,,4,4,3,4,3,4,4,5,5,4,4,4,4,4,2,2,2,2,2,3,1,2,2,3,2,0,4,4,4,4,4,12,4,5,2,2,2,0,Freedom House,46000,308,66,6
0,R_1dK3tOsKM7Y3Tcq,FALSE,9,1,1,0,0,0,0,0,0,,13,English,701,1,464,,4,4,1,4,4,4,4,4,4,4,4,,,,,,,,,,,4,2,4,4,4,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,1,5,4,4,4,4,12,5,5,3,3,3,0,Freedom House,46000,308,66,6
0,R_31iPdSW3yH2sG7q,FALSE,8,2,0,0,0,0,0,0,0,,13,spanish ,701,1,464,,4,4,1,3,4,4,4,4,4,4,4,,,,,,,,,,,4,4,4,4,4,1,4,4,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,0,4,4,4,4,4,12,3,5,3,3,3,0,Freedom House,46000,308,66,6
0,R_4NkJdSwZNoOY6hH,TRUE,8,2,1,0,0,0,0,0,0,,13,English ,701,1,464,,4,4,4,4,4,4,4,4,4,3,3,,,,,,,,,,,3,4,2,3,2,2,4,4,3,4,2,2,2,2,3,3,3,3,2,3,3,2,2,3,3,0,3,3,1,3,4,10,3,4,3,3,3,0,Freedom House,46000,308,66,6
1,R_2bV4csSQftvAK1A,TRUE,9,2,1,0,0,0,0,0,0,,13,20,701,1,464,,3,3,2,3,4,3,3,3,4,3,3,8,7,7,4,7,7,7,7,7,7,3,3,2,3,3,3,4,4,3,2,2,4,2,2,3,3,3,3,1,3,3,2,2,3,3,0,3,3,3,3,3,10,4,4,3,2,3,0,Freedom House,46000,308,66,6
1,R_1jf6IB37itQAuvA,TRUE,9,2,0,0,0,0,0,0,0,,13,20,701,1,464,,4,4,1,4,4,4,4,4,1,4,3,7,7,8,7,8,8,8,7,8,7,4,4,4,3,4,4,2,5,5,5,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,0,3,4,4,4,4,8,3,5,3,3,3,0,Freedom House,46000,308,66,6
0,R_12hhnSRjhS1nx4k,FALSE,9,2,0,0,0,0,0,0,0,,13,spanish,701,1,464,,4,4,1,4,4,4,4,4,4,4,4,,,,,,,,,,,4,4,4,4,4,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,0,5,4,4,4,4,12,5,5,3,3,3,0,Freedom House,46000,308,66,6
0,R_2c8yENbuoZYuKOT,FALSE,9,2,1,0,0,1,0,0,0,,12,English,701,1,464,,3,3,1,3,4,4,4,4,4,4,3,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,2,2,4,3,3,3,3,3,3,3,3,3,3,3,0,3,4,4,3,4,11,4,4,3,3,3,0,Freedom House,46000,308,66,6
1,R_XKZ1eijjMkuHmvf,FALSE,9,2,1,0,0,1,0,0,0,,12,20,701,1,464,,3,3,1,3,4,4,4,4,4,4,4,7,7,7,4,8,8,8,7,7,7,4,4,3,4,4,2,3,4,5,4,4,1,1,1,3,3,3,3,3,3,3,3,3,3,3,0,3,4,4,3,4,12,3,5,3,3,3,0,Freedom House,46000,308,66,6
1,R_10ADXmvpyTboCIB,TRUE,8,2,0,0,0,0,0,0,0,,12,30,701,0,464,,3,3,2,3,4,4,4,4,3,4,4,4,7,7,4,8,8,8,7,7,7,3,4,3,4,4,3,3,4,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,0,4,4,3,3,4,11,3,5,3,3,3,0,Freedom House,46000,308,66,6
0,R_31KGaPG5dd4ni6O,TRUE,8,2,1,0,0,0,0,0,0,,13,English,701,1,464,,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,0,4,3,2,3,3,9,4,4,3,3,3,0,Freedom House,46000,308,66,6
1,R_1Q4UYLhrathe3JM,TRUE,8,2,1,0,0,0,0,0,0,,13,20,701,1,464,,4,4,4,4,4,4,4,4,4,4,4,7,8,8,8,8,8,8,8,8,8,4,4,4,4,4,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,0,5,4,1,3,4,12,5,5,3,3,3,0,Freedom House,46000,308,66,6
0,R_28IJo199OAyFU0Z,TRUE,8,2,0,1,0,0,0,0,0,,13,Vietnamese,701,1,464,,4,4,1,4,4,4,4,4,3,3,3,,,,,,,,,,,3,4,3,3,4,1,1,3,5,4,2,4,1,2,3,3,3,3,2,3,2,3,3,3,3,0,3,3,4,4,4,9,1,4,3,3,3,0,Freedom House,46000,308,66,6
1,R_2PvdadYCYRx61qv,TRUE,9,2,0,1,0,0,0,0,0,,13,9,701,1,464,,4,4,2,4,4,4,4,4,3,3,3,7,7,7,4,7,7,7,7,7,7,4,4,2,3,4,5,2,3,5,4,2,2,2,4,3,3,3,3,1,3,3,3,2,3,3,0,3,3,3,4,4,9,4,4,3,3,3,0,Freedom House,46000,308,66,6
0,R_3nUkw9vtdR168o1,FALSE,9,1,0,0,0,0,0,0,0,1,13,Haitian Creole /French,701,1,464,,3,3,3,3,4,4,4,4,3,3,3,,,,,,,,,,,4,4,3,3,2,3,3,3,3,4,4,4,2,4,2,2,2,2,3,3,3,3,3,3,3,1,4,3,2,3,4,9,3,3,2,3,3,0,Freedom House,46000,308,66,6
0,R_272U6eTXwxjgDTA,FALSE,9,2,1,0,0,0,0,0,0,,13,English,701,1,464,,4,4,2,3,3,3,4,4,3,3,3,,,,,,,,,,,3,4,3,2,4,2,,5,5,2,2,2,2,2,3,3,2,2,1,2,1,1,1,3,3,0,2,3,3,4,4,9,,5,3,1,2,0,Freedom House,46000,308,66,6
0,R_81YxzjYioujH88V,FALSE,8,2,0,0,0,0,0,0,0,,13,english,701,1,464,,3,3,2,3,4,3,3,3,3,3,3,,,,,,,,,,,3,3,2,3,3,1,1,1,2,4,4,4,4,4,2,2,2,2,2,2,2,2,3,3,3,0,4,3,3,3,3,9,1,2,2,2,3,0,Freedom House,46000,308,66,6
0,R_Z1rNN12rFkDfZSx,TRUE,8,2,0,0,0,0,0,0,0,,13,english,701,1,464,,2,3,3,2,3,2,2,3,3,3,4,,,,,,,,,,,4,4,4,4,4,2,2,4,5,4,2,2,1,1,2,3,3,2,2,2,2,2,3,3,3,0,3,4,2,2,3,10,2,5,3,2,3,0,Freedom House,46000,308,66,6
0,R_T5VUGfxlSmfCHId,TRUE,5,2,1,0,0,0,0,0,0,,10,English,714,1,426,,3,3,2,3,3,4,4,4,3,3,4,,,,,,,,,,,4,4,3,4,4,3,3,4,5,4,4,4,4,2,3,3,3,3,2,3,3,3,2,3,2,0,4,4,3,3,4,10,3,5,3,3,2,0,SquashBusters Boston,148315,221,17,13
1,R_3rPbSrtkRvisKwU,TRUE,5,2,1,0,0,0,0,0,0,,10,20,714,0,426,,3,3,2,4,3,3,3,4,3,3,3,7,7,7,7,7,7,7,7,7,7,4,4,3,3,4,3,2,2,5,4,4,4,4,4,2,1,2,2,1,2,1,2,3,3,2,0,4,4,3,3,3,9,3,4,2,2,3,0,SquashBusters Boston,148315,221,17,13
0,R_1GNU8iZbKyniVqB,FALSE,5,1,0,0,0,0,0,0,0,,10,Spanish,714,1,455,,4,4,4,4,4,4,4,4,2,3,4,,,,,,,,,,,4,4,4,2,4,1,1,3,5,4,2,2,2,1,3,3,2,1,2,1,1,2,2,2,2,1,3,4,1,3,4,9,1,4,2,2,2,0,SquashBusters Boston,148315,221,17,13
